,Name,Size,Address,More info,Latitude,Longitude
34,Shades Mountain Baptist Church,Mega church,"2017 Columbiana Rd Birmingham, AL",http://www.usachurches.org/church/shades-mountain-baptist-church.htm,33.439334,-86.807731
35,Dawson Family of Faith,Large church,"1114 Oxmoor Rd Birmingham, AL",http://www.usachurches.org/church/dawson-family-of-faith.htm,33.474137,-86.806326
36,Hunter Street Baptist Church,Mega church,"2600 John Hawkins Pkwy Hoover, AL",http://www.usachurches.org/church/hunter-street-baptist-church.htm,33.356018,-86.838734
37,Episcopal Church Of Jesus,Medium church,"4912 Park Ave S W Birmingham, AL",http://www.usachurches.org/church/episcopal-church-of-jesus.htm,33.444771,-86.906005
38,Church at Brook Hills,Mega church,"3145 Brook Highland Pkwy Birmingham, AL",http://www.usachurches.org/church/church-at-brook-hills.htm,33.426209,-86.669815
39,Faith Apostolic Church,Large church,"2001 Cleburn Ave Birmingham, AL",http://www.usachurches.org/church/faith-apostolic-church-birmingham.htm,33.471802,-86.870274
40,Church of the Highlands,Mega church,"4700 Highlands Way Birmingham, AL",http://www.usachurches.org/church/church-of-the-highlands.htm,33.517637,-86.65573
41,Park Avenue Baptist Church,Medium church,"605 Park Ave Moody, AL",http://www.usachurches.org/church/park-avenue-baptist-church.htm,33.587486,-86.487034
42,Point of Grace Ministries,Large church,"500 Commons Dr Birmingham, AL",http://www.usachurches.org/church/point-of-grace-ministries.htm,33.43902,-86.834549
43,The House of Judah,Small church,"2231 Victory Ln Hoover, AL",http://www.usachurches.org/church/the-house-of-judah.htm,33.379705,-86.79503
44,Christ Anglican Church,Small church,"1953 Old Montgomery Hwy Hoover, AL",http://www.usachurches.org/church/christ-anglican-church.htm,33.356489,-86.807427
45,Bryant Fountain of Love Baptist Church,Medium church,"2130 31st Ave N Birmingham, AL",http://www.usachurches.org/church/bryant-fountain-of-love-baptist-church.htm,33.550755,-86.825172
46,Emmanuel Temple Holiness Church,Small church,"1912 15th Ave N Birmingham, AL",http://www.usachurches.org/church/emmanuel-temple-holiness-church.htm,33.530773,-86.818079
47,The Reach Community Church,Small church,"410 Dobbins Rd Boaz, AL",http://www.usachurches.org/church/the-reach-community-church.htm,34.151221,-86.218158
48,New Life Pentecostal Church,Medium church,"30 Persimmon Ln Columbiana, AL",http://www.usachurches.org/church/apostolic-truth-center.htm,33.163363,-86.634947
49,Fairview Wesleyan Church,Small church,"7667 Hargrove Rd E Cottondale, AL",http://www.usachurches.org/church/fairview-wesleyan-church.htm,33.136236,-87.452504
50,Fountain of Faith Missionary Baptist Church,Medium church,"1308 Dead Lake Rd Creola, AL",http://www.usachurches.org/church/fountain-of-faith-baptist-church.htm,30.907645,-88.004839
51,Koinonia Family Worship Center,Small church,"9755 U. S. 43Creola, AL",http://www.usachurches.org/church/koinonia-family-worship-center.htm,42.090798,-85.144801
52,Temple Baptist Church,Large church,"30 County Rd 1184Cullman, AL",http://www.usachurches.org/church/temple-baptist-church-cullman.htm,34.217726,-87.619031
53,Faith Tabernacle,Small church,"1214 4th St S W Cullman, AL",http://www.usachurches.org/church/faith-tabernacle.htm,34.17042,-86.874257
54,Light of the World Church of God in Christ,Medium church,"1366 U. S. 84Daleville, AL",http://www.usachurches.org/church/light-of-the-world-church-of-god-in-christ.htm,40.870285,-97.921486
55,Destiny Church,Medium church,"28186 U S-98 Daphne, AL",http://www.usachurches.org/church/destiny-church-daphne.htm,30.636328,-87.912464
56,City Hope Church,Large church,"29964 Saint Basil St Daphne, AL",http://www.usachurches.org/church/bay-community-church.htm,30.661034,-87.850209
57,Lifebridge Christian Church,Medium church,"414 Clark St S W Decatur, AL",http://www.usachurches.org/church/lifebridge-christian-church.htm,34.569342,-86.992674
58,Cave Spring Baptist Church,Medium church,"187 Cave Spring Rd Decatur, AL",http://www.usachurches.org/church/cave-spring-baptist-church.htm,34.536545,-86.887573
59,Oak Park Church of God,Small church,"1502 16th Ave S E Decatur, AL",http://www.usachurches.org/church/oakparkchurchofgod.htm,34.582419,-86.967308
60,Living Hope Church of God in Christ,Small church,"1616 Moulton St W Decatur, AL",http://www.usachurches.org/church/living-hope-church-of-god-in-christ.htm,34.604311,-87.009486
61,Flint Church of Christ,Medium church,"1205 Mill Rd S E Decatur, AL",http://www.usachurches.org/church/flint-church-of-christ.htm,34.523079,-86.973823
62,Grace Harvest Church,Small church,"475 W Main St Dothan, AL",http://www.usachurches.org/church/grace-harvest-church.htm,31.224788,-85.398348
63,Allen Temple Church Of God in Chirst,Medium church,"106 Farmer St Dothan, AL",http://www.usachurches.org/church/allentemplechurchofgodinchirst.htm,31.229338,-85.384297
64,Kingdom International Worship Center,Small church,"1550 Westgate Pkwy Dothan, AL",http://www.usachurches.org/church/kingdom-international-worship-center.htm,31.258235,-85.432004
65,Fellowship Church,Small church,"3308 S Shelton Beach Rd Eight Mile, AL",http://www.usachurches.org/church/fellowship-church-eight-mile.htm,30.750078,-88.147707
66,Harris Temple Church of God in Christ,Medium church,"747 Adams Ave Elba, AL",http://www.usachurches.org/church/harris-temple-church-of-god-in-christ.htm,31.422572,-86.079076
67,Temple of God Apostolic Church,Medium church,"10675 Rucker Rd Elmore, AL",http://www.usachurches.org/church/temple-of-god-apostolic-church.htm,32.537355,-86.312873
68,Grace Community Church,Medium church,"3515 AL Highway 14Elmore, AL",http://www.usachurches.org/church/grace-community-church-millbrook.htm,32.742275,-117.142247
69,Smyrna Korean Presbyterian Church,Small church,"4081 Rucker Blvd Enterprise, AL",http://www.usachurches.org/church/smyrna-korean-presbyterian-church.htm,31.33976,-85.778454
70,Lawrence Cove Baptist Church,Medium church,"142 Pine Burr Rd Eva, AL",http://www.usachurches.org/church/lawrence-cove-baptist-church.htm,34.370271,-86.737618
71,Celebration Church Fairhope,Large church,"8180 Dyer Rd Fairhope, AL",http://www.usachurches.org/church/celebration-church-of-fairhope.htm,30.534603,-87.882984
72,3Circle Church,Large church,"10274 Hwy 104Fairhope, AL",http://www.usachurches.org/church/church-on-the-eastern-shore.htm,33.792294,-87.533806
73,Fairhope Community Church,Medium church,"329 Greeno Rd S Fairhope, AL",http://www.usachurches.org/church/faith-baptist-church-of-fairhope.htm,30.517212,-87.886173
74,South River Park Church,Medium church,"10993 County Road 32Fairhope, AL",http://www.usachurches.org/church/south-river-park-church.htm,44.453261,-89.234109
75,Bell Springs Missionary Baptist Church,Small church,"91 Bell Springs Rd Falkville, AL",http://www.usachurches.org/church/bell-springs-baptist-church.htm,34.317406,-86.911355
76,First Baptist Church Florala,Medium church,"23593 5th Ave Florala, AL",http://www.usachurches.org/church/first-baptist-church-florala.htm,31.008267,-86.33296
77,Gateway Baptist Church,Small church,"1473 6th St Florala, AL",http://www.usachurches.org/church/gateway-baptist-church-florala.htm,31.009263,-86.32858
78,Grace Crossroad Church,Medium church,"800 N Patton St Florence, AL",http://www.usachurches.org/church/grace-crossroad-church.htm,34.818036,-87.650733
79,Revival Center Church of God in Christ,Small church,"101 Lanett St Florence, AL",http://www.usachurches.org/church/revival-center-church-of-god-in-christ.htm,34.860044,-87.686308
80,Mission Pointe Church,Small church,"13375 A L-157 Florence, AL",http://www.usachurches.org/church/missionpointechurch.htm,34.961291,-87.793513
81,New Rock Church of God in Christ,Small church,"1901 County Rd 6Florence, AL",http://www.usachurches.org/church/new-rock-church-of-god-in-christ.htm,32.936751,-85.979069
82,Florence First Assembly of God,Large church,"3610 Helton Dr Florence, AL",http://www.usachurches.org/church/florence-1st-assembly-of-god.htm,34.852043,-87.662892
83,Fairview Baptist Church,Medium church,"5295 Fairview Rd Gadsden, AL",http://www.usachurches.org/church/fairview-baptist-church-gadsden.htm,34.091064,-85.993943
84,Gardendale Church Of God,Medium church,"2255 N Rd Gardendale, AL",http://www.usachurches.org/church/gardendalechurchofgod.htm,33.677408,-86.82058
85,The Church of God,Small church,"County Road 28Goodwater, AL",http://www.usachurches.org/church/the-church-of-god.htm,33.124276,-85.469496
86,"First Baptist Church, Grant",Medium church,"5515 Main St Grant, AL",http://www.usachurches.org/church/firstbaptistchurchgrant.htm,34.527408,-86.253015
87,The Cornerstone Baptist Church,Small church,"160 N Jackson St Grove Hill, AL",http://www.usachurches.org/church/the-cornerstone-baptist-church.htm,31.714391,-87.7764
88,Resonate Church 922,Small church,"76 Mt Carmel Dr Guntersville, AL",http://www.usachurches.org/church/resonate-church-922.htm,34.389421,-86.367308
89,Laodicea Freewill Baptist Church,Small church,"276 County Rd 522Hanceville, AL",http://www.usachurches.org/church/laodicea-freewill-baptist-church.htm,33.529334,-87.236539
90,Christ Way Baptist Church,Small church,"1649 Nick Davis Rd Harvest, AL",http://www.usachurches.org/church/christ-way-baptist-church.htm,34.807539,-86.772485
91,New Salem Christian Church,Small church,"133 W Tuskeena St Hayneville, AL",http://www.usachurches.org/church/newsalemchristianchurch.htm,32.184012,-86.58203
92,First Baptist Church of Hazel Green,Large church,"225 Hunt Dr Hazel Green, AL",http://www.usachurches.org/church/first-baptist-church-of-hazel-green.htm,34.920274,-86.569074
93,Vise Grove Seventh-day Adventist Church,Small church,"303 Co Rd 116Heflin, AL",http://www.usachurches.org/church/visegroveseventhdayadventistchurch.htm,42.507921,-92.443249
94,Hunter Street Baptist Church,Mega church,"2600 John Hawkins Pkwy Hoover, AL",http://www.usachurches.org/church/hunter-street-baptist-church.htm,33.356018,-86.838734
95,The House of Judah,Small church,"2231 Victory Ln Hoover, AL",http://www.usachurches.org/church/the-house-of-judah.htm,33.379705,-86.79503
96,Christ Anglican Church,Small church,"1953 Old Montgomery Hwy Hoover, AL",http://www.usachurches.org/church/christ-anglican-church.htm,33.356489,-86.807427
97,Huntsville Christian Church,Medium church,"171 Indian Creek Rd N W Huntsville, AL",http://www.usachurches.org/church/huntsville-christian-church.htm,34.759542,-86.687696
98,Winchester Road East Church of Christ,Small church,"1471 Winchester Rd N E Huntsville, AL",http://www.usachurches.org/church/winchester-road-east-church-of-christ.htm,34.805556,-86.520038
99,Progressive Union Missionary Baptist Church,Large church,"1919 Brandon Town Rd N W Huntsville, AL",http://www.usachurches.org/church/progressiveunionmissionarybaptistchurch.htm,34.729538,-86.585283
100,Draper Memorial Church of God in Christ,Medium church,"313 Beirne Ave N E Huntsville, AL",http://www.usachurches.org/church/draper-memorial-church-of-god-in-christ.htm,34.740916,-86.5811
101,The Rock Family Worship Center,Mega church,"2300 Memorial Pkwy S W Huntsville, AL",http://www.usachurches.org/church/the-rock-family-worship-center-huntsville.htm,34.71706,-86.592013
102,Five Points Baptist Church,Small church,"801 Beirne Ave N E Huntsville, AL",http://www.usachurches.org/church/five-points-baptist-church.htm,34.740824,-86.575313
103,Whitesburg Baptist Church,Mega church,"6806 Whitesburg Dr Huntsville, AL",http://www.usachurches.org/church/whitesburg-baptist-church.htm,34.675772,-86.567902
104,Fountain Of Life Ministries,Medium church,"3104 Leeman Ferry Rd S W Huntsville, AL",http://www.usachurches.org/church/fountain-of-life-ministries.htm,34.697484,-86.591896
105,Madison Baptist Church,Large church,"840 Balch Rd Madison, AL",http://www.usachurches.org/church/madison-baptist-church.htm,34.738587,-86.767773
106,Christ Presbyterian Church of Monrovia,Small church,"1580 Jeff Rd N W Huntsville, AL",http://www.usachurches.org/church/christ-presbyterian-church-of-monrovia.htm,34.802906,-86.713816
107,Hope Lutheran Church,Small church,"4800 Montevallo Rd Irondale, AL",http://www.usachurches.org/church/hope-lutheran-church-birmingham.htm,33.525472,-86.718955
108,Milton Baptist Church,Small church,"843 Co Rd 1 N Jones, AL",http://www.usachurches.org/church/milton-baptist-church.htm,32.5839,-86.897499
109,Evangel Temple Assembly of God,Medium church,"1755 Phillips Rd Lanett, AL",http://www.usachurches.org/church/evangel-temple-assembly-of-god-lanett.htm,32.844959,-85.232756
110,New Ebenezer Baptist Church,Medium church,"2764 New Ebenezer Rd Lapine, AL",http://www.usachurches.org/church/new-ebenezer-baptist-church.htm,31.923639,-86.35339
111,Valley View Baptist Church,Medium church,"7254 President St Leeds, AL",http://www.usachurches.org/church/valley-view-baptist-church-leeds.htm,33.540574,-86.56678
112,Asbury Church,Large church,"980 Hughes Rd Madison, AL",http://www.usachurches.org/church/asbury-united-methodist-church-madison.htm,34.729962,-86.741376
113,Madison Baptist Church,Large church,"840 Balch Rd Madison, AL",http://www.usachurches.org/church/madison-baptist-church.htm,34.738587,-86.767773
114,Cloverleaf Baptist Church,Small church,"6500 Three Notch Rd Mobile, AL",http://www.usachurches.org/church/cloverleaf-baptist-church.htm,30.588967,-88.192493
115,Mobile First Church of God,Small church,"512 Farnell Ln Mobile, AL",http://www.usachurches.org/church/mobile-first-church-of-god.htm,30.667346,-88.114787
116,Fellowship Church,Small church,"3308 S Shelton Beach Rd Eight Mile, AL",http://www.usachurches.org/church/fellowship-church-eight-mile.htm,30.750078,-88.147707
117,West Mobile Baptist Church,Large church,"7501 Airport Blvd Mobile, AL",http://www.usachurches.org/church/west-mobile-baptist-church.htm,30.68571,-88.218769
118,Meadowlake Baptist Church,Medium church,"8075 Three Notch Rd Mobile, AL",http://www.usachurches.org/church/meadowlake-baptist-church.htm,30.588996,-88.231783
119,House of the Nations,Small church,"2020 Leroy Stevens Rd Mobile, AL",http://www.usachurches.org/church/house-of-the-nations.htm,30.648953,-88.233002
120,Destiny Church,Medium church,"28186 U S-98 Daphne, AL",http://www.usachurches.org/church/destiny-church-daphne.htm,30.636328,-87.912464
121,"Faith Ministries, PAW of Mobile, AL",Medium church,"1108 Chinquapin St Mobile, AL",http://www.usachurches.org/church/faithministriespawmobileal.htm,30.702754,-88.058139
122,City Hope Church,Large church,"29964 Saint Basil St Daphne, AL",http://www.usachurches.org/church/bay-community-church.htm,30.661034,-87.850209
123,Christ United Methodist Church,Mega church,"6101 Grelot Rd Mobile, AL",http://www.usachurches.org/church/christ-united-methodist.htm,30.661151,-88.18471
124,Oak Park Church,Large church,"3321 Sollie Rd Mobile, AL",http://www.usachurches.org/church/opcmobile.htm,30.618983,-88.207704
125,Providence Presbyterian Church,Medium church,"2320 Schillinger Rd S Mobile, AL",http://www.usachurches.org/church/providence-presbyterian-church.htm,30.642736,-88.224662
126,Lighthouse Baptist Church,Large church,"6905 Nan Gray Davis Rd Theodore, AL",http://www.usachurches.org/church/lighthouse-baptist-church-theodore.htm,30.547658,-88.189314
127,Temple of Praise Church of God in Christ,Small church,"1302 Wellington St Mobile, AL",http://www.usachurches.org/church/temple-of-praise-church-of-god-in-christ-mobile.htm,30.724798,-88.100665
128,Mount Hebron Church Ministries,Mega church,"2531 Berkley Ave Mobile, AL",http://www.usachurches.org/church/mount-hebron-church-ministries.htm,30.735212,-88.1088
129,Korean New Hope Presbyterian Church,Small church,"1260 Dauphin St Mobile, AL",http://www.usachurches.org/church/korean-new-hope-presbyterian-church.htm,30.687438,-88.064755
130,Mason Memorial Temple Church of God in Christ,Medium church,"2157 Government St Mobile, AL",http://www.usachurches.org/church/mason-memorial-temple-church-of-god-in-christ.htm,30.674675,-88.091494
131,Harvest Family Church,Medium church,"7245 Copperfield Dr Montgomery, AL",http://www.usachurches.org/church/harvest-family-church-montgomery.htm,32.37628,-86.168842
132,Center of Love Light and Peace Church,Medium church,"8448 Crossland Loop, Ste 158Montgomery, AL",http://www.usachurches.org/church/centeroflovelightandpeacechurch.htm,39.328235,-76.575639
133,Hall Memorial CME Church,Medium church,"541 Seibles Rd Montgomery, AL",http://www.usachurches.org/church/hall-memorial-cme-church.htm,32.313055,-86.294241
134,Love Center Church,Medium church,"2401 Plum St Montgomery, AL",http://www.usachurches.org/church/love-center-full-gospel-baptist-church.htm,32.371199,-86.276836
135,True Word Of Life Church,Medium church,"3975 Eastern Blvd Montgomery, AL",http://www.usachurches.org/church/true-word-of-life-church.htm,32.327955,-86.235588
136,Frazer Memorial United Methodist Church,Mega church,"6000 Atlanta Hwy Montgomery, AL",http://www.usachurches.org/church/frazer-memorial-united-methodist-church.htm,32.382097,-86.19619
137,Antioch Church of God in Christ,Small church,"566 Oak St Montgomery, AL",http://www.usachurches.org/church/antioch-church-of-god-in-christ-montgomery.htm,32.37017,-86.325312
138,Harvest Tyme Church,Small church,"11091 Atlanta Hwy Montgomery, AL",http://www.usachurches.org/church/harvest-tyme-church.htm,32.367043,-86.105382
139,"Miracle Deliverance Temple of Christ, Inc.",Medium church,"3402 Doris Cir Montgomery, AL",http://www.usachurches.org/church/miracle-deliverance-temple-of-christ-inc.htm,32.344093,-86.322064
140,Sitting At His Feet Fellowship,Small church,"110 Eugene St Montgomery, AL",http://www.usachurches.org/church/sitting-at-his-feet-fellowship.htm,32.379612,-86.327968
141,Park Avenue Baptist Church,Medium church,"605 Park Ave Moody, AL",http://www.usachurches.org/church/park-avenue-baptist-church.htm,33.587486,-86.487034
142,Lord's House of Worship,Small church,"2468 Happy Top Rd Morris, AL",http://www.usachurches.org/church/lords-house-of-worship.htm,33.747174,-86.744923
143,Community Baptist Church,Small church,"13355 Market St Moulton, AL",http://www.usachurches.org/church/community-baptist-church-moulton.htm,34.4642,-87.292572
144,Campground United Methodist Church,Small church,"24581 County Road 49Muscadine, AL",http://www.usachurches.org/church/campground-united-methodist-church.htm,37.400567,-108.595132
145,Springhill AME Zion Church,Small church,"4650 Watermelon Rd Northport, AL",http://www.usachurches.org/church/springhill-ame-zion-church.htm,33.249945,-87.547503
146,Beth Ohr Messianic Congregation,Small church,"3211 Waverly Pkwy Opelika, AL",http://www.usachurches.org/church/beth-ohr-messianic-congregation.htm,32.65396,-85.426735
147,Nazareth Missionary Baptist Church,Medium church,"4454 Lee Rd 166Opelika, AL",http://www.usachurches.org/church/nazarethmissionarybaptistchurch.htm,33.190457,-87.596342
148,Ridgecrest Baptist Church,Medium church,"1971 Deese Rd Ozark, AL",http://www.usachurches.org/church/ridgecrest-baptist-church.htm,31.437828,-85.661268
149,Crosscreek Baptist Church,Medium church,"600 Crosscreek Trail Pelham, AL",http://www.usachurches.org/church/crosscreekbaptistchurch.htm,33.313358,-86.816369
150,Sun View Baptist Church,Medium church,"2200 County Road 33Pelham, AL",http://www.usachurches.org/church/sun-view-baptist-church.htm,42.918535,-90.110395
151,Pierce Chapel,Small church,"2084 Co Rd 427Phenix City, AL",http://www.usachurches.org/church/piercechapel.htm,32.47292,-85.000787
152,The Church of God at Phenix City,Small church,"8 Whiterock Rd Phenix City, AL",http://www.usachurches.org/church/the-church-of-god-at-phenix-city.htm,32.466568,-85.078098
153,Extended Hand Church,Medium church,"209 Taylor St Piedmont, AL",http://www.usachurches.org/church/extended-hand-church.htm,33.931307,-85.603254
154,West Jefferson Assembly,Medium church,"4411 Alexander Rd Quinton, AL",http://www.usachurches.org/church/west-jefferson-assembly.htm,33.636497,-87.089108
155,Harvest Fellowship Church,Small church,"607 10th Ave N Red Bay, AL",http://www.usachurches.org/church/harvest-fellowship-church.htm,34.450215,-88.150179
156,Harmony Baptist Church,Medium church,"2335 Firetower Rd Semmes, AL",http://www.usachurches.org/church/harmony-baptist-church-semmes.htm,30.739383,-88.259905
157,"Open Door Church Ministries, Inc.",Medium church,"1301 Pinehurst Blvd Sheffield, AL",http://www.usachurches.org/church/open-door-church-ministries-inc.htm,34.763507,-87.678447
158,Healing Fountain Apostolic Faith Church,Medium church,"1019 Sterling Blvd Sheffield, AL",http://www.usachurches.org/church/healing-fountain-apostolic-faith-church.htm,34.753694,-87.693363
159,Bethel Grove Missionary Baptist Church,Medium church,"3481 County Rd 30Shorter, AL",http://www.usachurches.org/church/bethel-grove-missionary-baptist-church.htm,32.937097,-86.004131
160,Fellowship Assembly of God Church,Small church,"619 Lee Road 243Smiths Station, AL",http://www.usachurches.org/church/fellowship-assembly-of-god-church.htm,32.489139,-85.108159
161,Friendship Congregational Holiness Church,Medium church,"200 Lee Rd 386Smiths Station, AL",http://www.usachurches.org/church/friendship-congregational-holiness-church.htm,32.486048,-85.071731
162,Spanish Fort United Methodist Church,Medium church,"6690 Spanish Fort Blvd Spanish Fort, AL",http://www.usachurches.org/church/spanish-fort-united-methodist-church.htm,30.669521,-87.907683
163,Joyful Noise AOH Church of God,Medium church,"955 S Hammett Ave Sylacagua, AL",http://www.usachurches.org/church/joyful-noise-aoh-church-of-god.htm,33.150395,-86.263596
164,Heavenly Grace Gospel Word Network Ministries,Small church,"1103 Nimitz Ave Talladega, AL",http://www.usachurches.org/church/heavenlygracegospelwordnetworkministries.htm,33.461317,-86.07392
165,New Jerusalem Episcopal Church of Jesus,Small church,"307 N Spring St Talladega, AL",http://www.usachurches.org/church/new-jerusalem-episcopal-church-of-jesus.htm,33.440141,-86.10622
166,Taylor's Grove Congregational Holiness Church,Small church,"2206 Ashland Hwy Talladega, AL",http://www.usachurches.org/church/taylorsgrovecongregationalholinesschurch.htm,33.413439,-86.060259
167,Lighthouse Baptist Church,Large church,"6905 Nan Gray Davis Rd Theodore, AL",http://www.usachurches.org/church/lighthouse-baptist-church-theodore.htm,30.547658,-88.189314
168,Helton Road Baptist Church,Small church,"7500 Helton Rd Theodore, AL",http://www.usachurches.org/church/helton-road-baptist-church.htm,30.568289,-88.218212
169,New Life Church Trussville,Small church,"6263 Service Rd Trussville, AL",http://www.usachurches.org/church/new-life-church-trussville.htm,33.653237,-86.605537
170,Vineyard Community Church,Medium church,"541 Black Bears Way Tuscaloosa, AL",http://www.usachurches.org/church/vineyard-community-church-tuscaloosa.htm,33.196457,-87.543518
171,Bible Baptist Church,Medium church,"200 Bear Creek Rd E Tuscaloosa, AL",http://www.usachurches.org/church/bible-baptist-church-tuscaloosa.htm,33.139195,-87.533638
172,Safe Haven Church,Medium church,"4250 Old Greensboro Rd Tuscaloosa, AL",http://www.usachurches.org/church/safe-haven-church.htm,33.167945,-87.546731
173,First United Methodist Church of Tuscaloosa,Mega church,"800 Greensboro Ave Tuscaloosa, AL",http://www.usachurches.org/church/first-united-methodist-church-of-tuscaloosa.htm,33.206711,-87.567061
174,North River Church,Medium church,"4215 Rice Mine Rd N E Tuscaloosa, AL",http://www.usachurches.org/church/north-river-church.htm,33.256937,-87.514249
175,Tuscaloosa Church of God,Medium church,"4115 5th Ave Tuscaloosa, AL",http://www.usachurches.org/church/tuscaloosa-church-of-god.htm,33.168876,-87.541505
176,Spring Valley Church of Christ,Medium church,"2485 Spring Valley Rd Tuscumbia, AL",http://www.usachurches.org/church/spring-valley-church-of-christ.htm,34.656779,-87.618583
